STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-09,0,,18.9,10
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-10,0,,16.1,12.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-11,0,,17.2,8.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-12,0,,17.8,11.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-13,0,,19.4,11.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-14,0,,17.8,11.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-15,0,,15.6,8.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-16,0,,16.7,7.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-17,0,,18.3,10
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-18,0,,21.1,11.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-19,0,,30.6,13.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-20,0,,35,17.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-21,0,,32.2,15
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-22,0,,20.6,13.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-23,0,,17.8,12.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-24,0,,16.7,12.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-25,0,,17.8,10.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-26,0,,17.8,10.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-27,0,,17.8,11.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-28,0,,16.1,11.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-29,0,,17.2,10
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-04-30,0,,17.8,11.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-01,0,,21.1,13.3
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-02,0,,18.3,13.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-03,0,,19.4,12.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-04,0,,20,13.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-05,0,,21.1,14.4
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-06,0,,23.9,14.4
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-07,0,,26.7,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-08,0,,23.3,15
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-09,0,,20.6,15
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-10,0,,20,13.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-11,0,,20,13.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-12,0,,20,15
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-13,0,,20,14.4
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-14,0,,21.1,14.4
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-15,0,,20.6,16.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-16,0,,20.6,16.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-17,0,,21.1,16.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-18,0,,20.6,14.4
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-19,0,,20,15
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-20,0,,21.7,15
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-21,0,,21.1,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-22,0,,20,15
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-23,0,,19.4,15
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-24,0,,20,15
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-25,0,,20,14.4
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-26,0,,20.6,15
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-27,0,,20.6,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-28,0,,20,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-29,0,,17.8,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-30,0,,18.3,15
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-05-31,0,,19.4,15
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-01,0,,19.4,15
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-02,0,,20.6,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-03,1.5,,18.9,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-04,0,,20.6,13.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-05,2.3,,20.6,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-06,0,,20,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-07,0,,20.6,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-08,0,,20.6,16.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-09,0,,19.4,16.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-10,0,,20.6,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-11,0,,20.6,16.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-12,0,,20,16.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-13,0,,20.6,16.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-14,0,,21.1,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-15,0,,21.7,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-16,0,,21.7,16.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-17,0,,21.1,16.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-18,0,,21.7,17.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-19,0,,21.7,17.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-20,0,,21.7,16.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-21,0,,21.7,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-22,0,,21.7,15
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-23,0,,21.7,16.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-24,0,,21.7,16.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-25,0,,19.4,16.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-26,0,,20,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-27,0,,21.7,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-28,0,,21.1,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-29,0,,20.6,15
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-06-30,0,,19.4,16.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-01,0,,20,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-02,0,,20,16.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-03,0,,20,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-04,0,,20.6,15
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-05,0,,21.1,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-06,0,,21.7,14.4
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-07,0,,22.8,16.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-08,0,,22.2,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-09,0,,21.7,16.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-10,0,,23.9,16.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-11,0,,25,17.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-12,0,,25.6,17.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-13,0,,26.1,18.3
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-14,0,,23.3,17.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-15,0,,22.8,16.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-16,0,,22.8,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-17,0,,22.2,16.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-18,0,,23.9,17.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-19,0,,25,18.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-20,0,,25,18.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-21,0,,23.9,18.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-22,0,,25,19.4
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-23,0,,24.4,19.4
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-24,0,,24.4,18.3
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-25,0,,23.3,18.3
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-26,0,,23.9,18.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-27,0,,22.8,17.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-28,0,,23.9,17.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-29,0,,23.9,17.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-30,0,,24.4,18.3
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-07-31,0,,24.4,17.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-01,0,,23.9,17.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-02,0,,22.8,17.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-03,0,,24.4,17.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-04,0,,26.7,16.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-05,0,,26.1,18.3
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-06,0,,23.9,16.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-07,0,,23.3,16.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-08,0,,22.8,16.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-09,0,,21.1,16.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-10,0,,21.1,17.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-11,0,,20.6,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-12,0,,20.6,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-13,0,,21.1,16.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-14,0,,22.2,17.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-15,0,,22.2,16.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-16,0,,22.2,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-17,0,,20.6,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-18,0,,20,15.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-19,0,,21.1,16.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-20,0,,20,16.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-21,0,,21.7,16.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-22,0,,27.2,19.4
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-23,0,,23.3,17.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-24,0,,21.7,17.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-25,0,,23.9,16.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-26,0,,26.7,16.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-27,0,,30.6,18.3
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-28,0,,31.7,18.3
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-29,0,,30,19.4
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-30,0,,29.4,18.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-08-31,0,,27.8,18.3
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-01,0,,29.4,20
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-02,0,,28.3,20
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-03,0,,30.6,20
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-04,0,,28.9,20
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-05,0,,25.6,18.9
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-06,0,,25.6,16.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-07,0,,25,16.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-08,0,,23.9,18.3
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-09,0,,23.3,17.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-10,0,,25,17.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-11,0,,23.9,18.3
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-12,0,,21.7,17.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-13,0,,21.7,17.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-14,0,,21.7,17.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-15,0,,23.3,16.1
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-16,0,,22.8,17.2
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-17,0,,24.4,17.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-18,0,,23.9,18.3
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-19,0,,23.9,17.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-20,0,,22.2,16.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-21,0,,21.7,16.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009-09-22,0,,21.7,16.7
